"test_case_id","module","user_type","scenario","preconditions","steps","expected_result","priority","status"
"TC-001","Initial User Type","All","แสดงหน้าเลือกประเภทผู้ยื่นคำขอเมื่อเปิดระบบ","เปิด index.html และโหลด CSS/JS สำเร็จ","เปิดหน้าเว็บ","ระบบแสดงการ์ด บุคลากร นักศึกษา และบุคคลภายนอก โดย initialUserTypeView เป็น view ที่ active","High","Not Run"
"TC-002","Database Loading","Staff/Student","ปุ่มเข้าสู่ระบบถูกปิดระหว่างโหลดฐานข้อมูล","เปิดหน้าเว็บและยังโหลด CSV ไม่ครบ 3 ชุด","คลิก บุคลากร หรือ นักศึกษา ทันทีหลังเปิดหน้า","ปุ่ม login แสดงข้อความ กำลังโหลดฐานข้อมูล และ disabled จนกว่า staff student contract CSV โหลดครบ","High","Not Run"
"TC-003","Database Loading","Staff/Student","ปุ่มเข้าสู่ระบบเปิดหลังโหลดฐานข้อมูลครบ","CSV ทั้ง 3 ชุดโหลดสำเร็จ","เปิด modal login หลังโหลดข้อมูลครบ","spinner ถูกซ่อน ปุ่มเปลี่ยนข้อความเป็น เข้าสู่ระบบ และสามารถกดได้","High","Not Run"
"TC-004","Login","บุคลากร","เปิด modal login บุคลากร","อยู่หน้าเลือกประเภทผู้ยื่นคำขอ","คลิกการ์ด บุคลากร","modal แสดงหัวข้อเข้าสู่ระบบบุคลากร คำอธิบายสำหรับดึงข้อมูลและสายการอนุมัติ และเติมรหัสตัวอย่าง 2550190","High","Not Run"
"TC-005","Login","นักศึกษา","เปิด modal login นักศึกษา","อยู่หน้าเลือกประเภทผู้ยื่นคำขอ","คลิกการ์ด นักศึกษา","modal แสดงหัวข้อเข้าสู่ระบบนักศึกษา คำอธิบายสำหรับดึงข้อมูล และเติมรหัสตัวอย่าง 68070501034","High","Not Run"
"TC-006","Login","Staff/Student","แจ้งเตือนเมื่อไม่กรอกรหัส","เปิด modal login และล้างค่ารหัส","กด เข้าสู่ระบบ","ระบบ alert กรุณากรอกรหัสเพื่อเข้าสู่ระบบ และยังไม่ไปหน้า home","High","Not Run"
"TC-007","Login","บุคลากร","แจ้งเตือนเมื่อรหัสบุคลากรไม่พบ","เปิด modal login บุคลากร","กรอกรหัสที่ไม่มีใน staffDatabase แล้วกด เข้าสู่ระบบ","ระบบ alert ไม่พบข้อมูลบุคลากรนี้ในระบบ และยังไม่ไปหน้า home","High","Not Run"
"TC-008","Login","นักศึกษา","แจ้งเตือนเมื่อรหัสนักศึกษาไม่พบ","เปิด modal login นักศึกษา","กรอกรหัสที่ไม่มีใน studentDatabase แล้วกด เข้าสู่ระบบ","ระบบ alert ไม่พบข้อมูลนักศึกษานี้ในระบบ และยังไม่ไปหน้า home","High","Not Run"
"TC-009","Login","บุคลากร","เข้าสู่ระบบบุคลากรสำเร็จ","โหลดฐานข้อมูลครบและมีรหัสบุคลากรใน staffDatabase","กรอกรหัสบุคลากรถูกต้องแล้วกด เข้าสู่ระบบ","modal ปิด ระบบไป homeView และ welcomeText แสดงชื่อบุคลากร","High","Not Run"
"TC-010","Login","นักศึกษา","เข้าสู่ระบบนักศึกษาสำเร็จ","โหลดฐานข้อมูลครบและมีรหัสนักศึกษาใน studentDatabase","กรอกรหัสนักศึกษาถูกต้องแล้วกด Enter หรือกดปุ่มเข้าสู่ระบบ","modal ปิด ระบบไป homeView และ welcomeText แสดงคำนำหน้า ชื่อ และสกุลนักศึกษา","High","Not Run"
